id,source_file_id,airport_icao,obstacle_id,name,bearing_deg,mag_bearing_deg,distance_m,latitude,longitude,elevation_m,height_m,unit_distance_original,unit_height_original,confidence_score,is_user_modified,edited_at,source_page,raw_text
17,1,ZLLL,017,旗杆,,18.0,7655.0,36.57994444444445,103.64355555555557,2034.3,,m,m,0.95,0,,2,"旗杆
017 | 杆 | N363447.8
E1033836.8
018/7655 |  |  | 2034.3 |  | RWY01起飞航径区重要障碍物"
18,1,ZLLL,018,学校,,19.0,5669.0,36.56247222222222,103.63858333333334,1994.6,,m,m,0.95,0,,2,"学校
018 | 建筑 | N363344.9
E1033818.9
019/5669 |  |  | 1994.6 |  | RWY01起飞航径区重要障碍物"
19,1,ZLLL,019,商砼,,19.0,7545.0,36.57877777777778,103.64422222222223,2032.0,,m,m,0.95,0,,2,"商砼
019 | 建筑 | N363443.6
E1033839.2
019/7545 |  |  | 2032 |  | RWY01起飞航径区重要障碍物"
20,1,ZLLL,020,设备,,19.0,7677.0,36.580000000000005,103.64425,2034.4,,m,m,0.95,0,,2,"设备
020 | 建筑 | N363448.0
E1033839.3
019/7677 |  |  | 2034.4 |  | RWY01起飞航径区重要障碍物"
21,1,ZLLL,021,烟囱,,19.0,7913.0,36.581944444444446,103.64544444444445,2038.3,,m,m,0.95,0,,2,"烟囱
021 | 工业烟囱 | N363455.0
E1033843.6
019/7913 |  |  | 2038.3 |  | RWY01起飞航径区重要障碍物"
22,1,ZLLL,022,商砼站,,23.0,7417.0,36.57627777777778,103.64902777777779,2030.7,,m,m,0.95,0,,3,"商砼站
022 | 建筑 | N363434.6
E1033856.5
023/7417 | 2030.7 | 灯光：红色 | RWY19 LNAV/VNAV控制障碍物"
23,1,ZLLL,023,路灯,,29.0,5161.0,36.555138888888884,103.64636111111112,1979.5,,m,m,0.95,0,,3,"路灯
023 | 杆 | N363318.5
E1033846.9
029/5161 | 1979.5 |  | RWY01起飞航径区重要障碍物"
24,1,ZLLL,024,车辆,,29.0,5174.0,36.555249999999994,103.64644444444446,1980.4,,m,m,0.95,0,,3,"车辆
024 | 移动障碍
物 | N363318.9
E1033847.2
029/5174 | 1980.4 |  | RWY01起飞航径区重要障碍物"
25,1,ZLLL,025,通讯塔,,29.0,8400.0,36.581361111111114,103.66227777777779,2059.0,,m,m,0.95,0,,3,"通讯塔
025 | 天线 | N363452.9
E1033944.2
029/8400 | 2059 |  | RWY01离场控制障碍物"
26,1,ZLLL,026,监控天线,,32.0,4087.0,36.54558333333333,103.6431388888889,1957.7,,m,m,0.95,0,,3,"监控天线
026 | 天线 | N363244.1
E1033835.3
032/4087 | 1957.7 |  | RWY01起飞航径区重要障碍物"
